STRNAME,SURFACE,FEDAID,COND_2019,COND_2021,COND_2022,COND_2023,COND_2024,COND_2025
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Good,Good,Good,Good,Good,Good
10th St,Asphalt,No,Poor,Poor,Good,Good,Good,Good
10th St,Asphalt,No,Good,Good,Good,Good,Good,Good
11th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Concrete,No,Poor,Poor,Poor,Poor,Fair,Fair
11th St,Concrete,No,Poor,Poor,Poor,Poor,Good,Good
11th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Poor,Poor,Good,Good,Good,Good
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
12th St,Concrete,No,Poor,Poor,Poor,Poor,Fair,Fair
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
12th St,Asphalt,No,Poor,Poor,Good,Good,Good,Good
12th St,Concrete,Yes,Poor,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Poor,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
12th St,Concrete,Yes,Poor,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th/N I 75 RAMP (038G),Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
12th/N I 75 RAMP (038G),Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
12th/N I 75 RAMP (038G),Concrete,Yes,Poor,Poor,Poor,Poor,Poor,Fair
12th/N I 75 RAMP (038G),Concrete,Yes,Fair,Fair,Fair,Good,Good,Fair
12th/N I 75 RAMP (038G),Concrete,Yes,Fair,Fair,Fair,Good,Good,Fair
12th/S I 75 CD RAMP (038B),Asphalt,Yes,Poor,Fair,Fair,Good,Good,Poor
12th/S I 75 CD RAMP (038B),Asphalt,Yes,Poor,Fair,Fair,Good,Good,Fair
13th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
13th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
13th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
13th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
13th St,Asphalt,No,Good,Good,Fair,Fair,Fair,Fair
13th St,Asphalt,No,Good,Good,Good,Good,Good,Good
13th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
14th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
14th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Concrete,No,Poor,Poor,Fair,Fair,Fair,Fair
14th St,Concrete,No,Fair,Fair,Fair,Fair,Fair,Fair
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
