OBJECTID,FENAME,FETYPE,NFC,LegalSystem,Nhs,FedAid,COUNTYL,COUNTYR,SEMMCDL,SEMMCDR,COMMUNITYL,COUNTYNAMEL,COMMUNITYR,COUNTYNAMER,VER,lenmi,Shape__Length
1,,,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.41511,2192.346402
2,,,0,0,0,No,163,163,1075,1075,Grosse Pointe Park,Wayne,Grosse Pointe Park,Wayne,22,0.0248,130.9889521
20,,,7,3,0,No,163,163,1210,1210,Westland,Wayne,Westland,Wayne,22,0.59208,3127.104573
23,,,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.56755,2997.236304
24,,,7,5,0,No,163,163,1055,1055,Gibraltar,Wayne,Gibraltar,Wayne,22,0.04718,249.202334
25,,,7,5,0,No,163,163,1110,1110,Inkster,Wayne,Inkster,Wayne,22,0.18262,964.517344
26,,,7,5,0,No,163,163,1155,1155,River Rouge,Wayne,River Rouge,Wayne,22,0.02841,150.0406066
27,,,7,5,0,No,163,163,1190,1190,Trenton,Wayne,Trenton,Wayne,22,0.04063,214.6112918
73,10th,St,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.06484,342.4391987
79,10th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.41842,2209.815733
80,10th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,1.25988,6653.972952
81,10th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.33616,7056.936628
138,11th,St,7,4,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.51034,2695.367886
139,11th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,1.09932,5806.015871
140,11th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.3215,6979.540539
178,12th,St,5,4,0,Yes,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.9818,5185.416081
181,12th,St,7,4,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.77855,4111.872842
182,12th,St,7,4,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.64541,3408.768624
184,12th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.19918,1051.971992
185,12th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.19694,1040.123014
191,12th/N I 75,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.24831,1311.403125
192,12th/S I 75 CD,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.16364,864.2348032
214,13th,St,7,4,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.49054,2590.829342
216,13th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.91578,4836.6366
217,13th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.02501,5413.58833
256,14th,St,3,4,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.36275,7197.058114
257,14th,St,4,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,3.91158,20657.969
258,14th,St,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.3476,1835.767413
260,14th,St,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.31918,1685.691697
262,14th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.45791,2418.276333
263,14th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.57975,3061.934071
264,14th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.28621,6793.191836
269,14th/E I 94,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.07399,390.75436
274,15th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,2.54594,13445.86117
275,15th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.79593,4203.664166
276,15th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,2.46782,13033.83054
291,16th,St,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.12872,679.8029821
292,16th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,2.63946,13939.68422
293,16th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.68677,3627.172891
294,16th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.58713,8382.479153
302,17th,St,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.09185,485.0899188
304,17th,St,7,4,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.99715,5266.545614
305,17th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.74118,9195.636579
306,17th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.78804,4161.995895
307,17th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.54021,8134.675764
319,18th,St,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.10788,569.729501
321,18th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.72301,9099.69852
322,18th,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.78314,4136.091856
323,18th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.97486,10430.29541
329,19th,St,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.05506,290.8026067
330,19th,St,7,4,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.77556,4096.095028
331,19th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.02822,149.0358258
332,19th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.71831,9075.281858
335,1st,St,0,0,0,No,163,163,1015,1015,Brownstown Twp,Wayne,Brownstown Twp,Wayne,22,0.06942,366.6654062
336,1st,St,0,0,0,No,163,163,1020,1020,Canton Twp,Wayne,Canton Twp,Wayne,22,0.02235,118.0206706
337,1st,St,0,0,0,No,163,163,1030,1030,Dearborn Heights,Wayne,Dearborn Heights,Wayne,22,0.19596,1034.959052
338,1st,St,0,0,0,No,163,163,1045,1045,Flat Rock (Wayne),Wayne,Flat Rock (Wayne),Wayne,22,0.13045,688.9988597
339,1st,St,0,0,0,No,163,163,1115,1115,Lincoln Park,Wayne,Lincoln Park,Wayne,22,0.04539,239.7185981
340,1st,St,0,0,0,No,163,163,1150,1150,Redford Twp,Wayne,Redford Twp,Wayne,22,0.04634,244.7596858
341,1st,St,0,0,0,No,163,163,1180,1180,Sumpter Twp,Wayne,Sumpter Twp,Wayne,22,0.15266,806.3107207
342,1st,St,0,0,0,No,163,163,1185,1185,Taylor,Wayne,Taylor,Wayne,22,0.21216,1120.525867
351,1st,St,4,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.39502,2086.176917
356,1st,St,7,3,0,No,163,163,1135,1135,Northville Twp,Wayne,Northville Twp,Wayne,22,0.06018,317.8458186
365,1st,St,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.16529,872.966551
366,1st,St,7,4,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.2206,1165.104178
375,1st,St,7,5,0,No,163,163,1010,1010,Belleville,Wayne,Belleville,Wayne,22,0.06439,340.0776977
376,1st,St,7,5,0,No,163,163,1040,1040,Ecorse,Wayne,Ecorse,Wayne,22,0.26919,1421.70463
377,1st,St,7,5,0,No,163,163,1130,1130,Northville (Wayne),Wayne,Northville (Wayne),Wayne,22,0.18101,956.0141478
378,1st,St,7,5,0,No,163,163,1205,1205,Wayne,Wayne,Wayne,Wayne,22,0.29676,1567.430806
379,1st,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.86361,4561.203562
401,20th,St,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.50867,2686.41378
402,20th,St,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.06454,340.8606879
403,20th,St,7,4,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.98559,5205.432841
405,20th,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,1.26656,6689.43257
417,21st,St,5,5,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.16702,882.0961514
418,21st,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.25711,1357.858485
419,21st,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,2.01897,10663.26171
422,21st/N I 75,,5,7,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.01668,88.09970809
430,22nd,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.15887,839.0487012
431,22nd,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,2.18125,11520.43028
445,23rd,St,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.32402,1711.202526
447,23rd,St,7,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.0529,279.3801071
448,23rd,St,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.5743,3033.116245
449,23rd,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.42479,7524.660821
450,23rd,St,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,2.44627,12920.087
460,24th,St,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.13993,739.0084574
464,24th,St,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.51269,7988.942707
466,24th,St,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.81911,4325.965101
467,24th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.32875,1736.207365
479,25th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,2.25929,11931.93347
517,28th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.51261,7988.518936
524,29th,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.55697,2941.510744
526,2nd,St,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.02409,127.2058391
527,2nd,St,0,0,0,No,163,163,1015,1015,Brownstown Twp,Wayne,Brownstown Twp,Wayne,22,0.15269,806.485128
528,2nd,St,0,0,0,No,163,163,1020,1020,Canton Twp,Wayne,Canton Twp,Wayne,22,0.03773,199.2851248
529,2nd,St,0,0,0,No,163,163,1030,1030,Dearborn Heights,Wayne,Dearborn Heights,Wayne,22,0.17344,916.010337
530,2nd,St,0,0,0,No,163,163,1045,1045,Flat Rock (Wayne),Wayne,Flat Rock (Wayne),Wayne,22,0.03699,195.3518895
531,2nd,St,0,0,0,No,163,163,1115,1115,Lincoln Park,Wayne,Lincoln Park,Wayne,22,0.04736,250.1166048
532,2nd,St,0,0,0,No,163,163,1150,1150,Redford Twp,Wayne,Redford Twp,Wayne,22,0.04635,244.8185489
533,2nd,St,0,0,0,No,163,163,1180,1180,Sumpter Twp,Wayne,Sumpter Twp,Wayne,22,0.08936,472.005788
534,2nd,St,0,0,0,No,163,163,1185,1185,Taylor,Wayne,Taylor,Wayne,22,0.21847,1153.865962
545,2nd,Ave,4,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.95826,5060.799787
546,2nd,Ave,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,2.15923,11403.41514
547,2nd,Blvd,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.03165,5448.327513
548,2nd,St,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.48402,2556.215851
549,2nd,Ave,5,4,0,Yes,163,163,1100,1100,Highland Park,Wayne,Highland Park,Wayne,22,0.05658,298.7959161
550,2nd,St,5,4,0,Yes,163,163,1205,1205,Wayne,Wayne,Wayne,Wayne,22,1.0005,5284.233461
551,2nd,St,5,4,0,Yes,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.68518,3618.801734
554,2nd,Ave,5,5,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.09418,497.394356
563,2nd,Blvd,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.03253,171.7988166
