route_location_id,route_id,beginning_milepoint,ending_milepoint,location_id,facility_type,program,num_aadt,num_caadt,num_single_unit_caadt,num_combined_unit_caadt,street_name,from_description,to_description,num_lanes,nfc_name,posted_speed,ObjectId,Shape__Length
0802803-82-0033-2.9980547-4.1260197,802803,2.998055,4.126019,82-0033,2 - Two-Way Roadway,Trunkline,54905,2636,1593,1043,8 Mile Rd E,JCT M-53,JCT M-97,4,Other principal arterial,40,1,2457.0388563957
0802803-82-0034-4.1260197-5.9037604,802803,4.126019,5.90376,82-0034,2 - Two-Way Roadway,Trunkline,37940,797,645,152,8 Mile Rd E,JCT M-97,JCT M-3,4,Other principal arterial,40,2,3872.45769746556
0802803-82-0137-5.9037604-7.2663327,802803,5.90376,7.266333,82-0137,2 - Two-Way Roadway,Trunkline,39725,913,794,119,8 Mile Rd E,JCT M-3,ECL DETROIT @ KELLY RD,4,Other principal arterial,40,3,2968.10196425331
1576405-82-0183-30.0896248-30.9830308,1576405,30.08962,30.98303,82-0183,2 - Two-Way Roadway,Trunkline,126670,9754,3167,6587,I 94,MT. ELLIOTT,JCT M-53  VAN DYKE,6,Interstate,55,4,1946.60403022451
1576405-82-0184-30.9830308-31.7726237,1576405,30.98303,31.77262,82-0184,2 - Two-Way Roadway,Trunkline,119706,8739,2873,5866,I 94,JCT M-53  VAN DYKE,JCT M-3  GRATIOT AVE,6,Interstate,55,5,1719.66559293881
1576405-82-0185-31.7726237-32.3171147,1576405,31.77262,32.31712,82-0185,2 - Two-Way Roadway,Trunkline,115544,8088,2542,5546,I 94,JCT M-3 GRATIOT AVE,FRENCH RD,6,Interstate,55,6,1185.08198356179
1576405-82-0187-35.8456853-36.5118613,1576405,35.84568,36.51186,82-0187,2 - Two-Way Roadway,Trunkline,121799,8525,2679,5846,I 94,CADIEUX RD,MOROSS RD,6,Interstate,55,7,1453.47168653209
1576405-82-0212-27.1722048-27.5009293,1576405,27.1722,27.50093,82-0212,2 - Two-Way Roadway,Trunkline,157338,14317,5034,9283,I 94,TRUMBULL,JCT M-10,6,Interstate,55,8,716.095526467032
1576405-82-0213-35.0488797-35.8456853,1576405,35.04888,35.84568,82-0213,2 - Two-Way Roadway,Trunkline,116517,8157,2564,5593,I 94,HARPER AVE,CADIEUX,6,Interstate,55,9,1737.82635191784
1576405-82-0214-24.0249942-24.5496836,1576405,24.02499,24.54968,82-0214,2 - Two-Way Roadway,Trunkline,131128,15472,4720,10752,I 94,CECIL AVE,LIVERNOIS,6,Interstate,55,10,1141.84355206858
1576405-82-0215-27.5009293-27.9859164,1576405,27.50093,27.98592,82-0215,2 - Two-Way Roadway,Trunkline,165061,15021,5282,9739,I 94,JCT M-10,JCT M-1,6,Interstate,55,11,1056.62453210481
1576405-82-0218-32.3171147-32.7345681,1576405,32.31712,32.73457,82-0218,2 - Two-Way Roadway,Trunkline,111162,7781,2445,5336,I 94,FRENCH RD,CONNER AVE,6,Interstate,55,12,909.558018938846
1576405-82-7359-26.1641957-26.4573719,1576405,26.1642,26.45737,82-7359,2 - Two-Way Roadway,Trunkline,152843,13909,4891,9018,I 94,JCT I-96,LINWOOD,6,Interstate,55,13,638.00457743298
1576405-82-7360-28.3191271-28.6391269,1576405,28.31913,28.63913,82-7360,2 - Two-Way Roadway,Trunkline,80428,7157,2412,4745,I 94,BEAUBIEN,JCT I-75,6,Interstate,55,14,696.851273581097
1576405-82-7493-25.5983789-26.1641957,1576405,25.59838,26.1642,82-7493,2 - Two-Way Roadway,Trunkline,133921,15803,4821,10982,I 94,Consolidated Rail Corporation,Schaefer Rd,6,Interstate,55,15,1231.35370812274
1576405-82-7494-25.1925491-25.5983789,1576405,25.19255,25.59838,82-7494,2 - Two-Way Roadway,Trunkline,130281,15373,4690,10683,I 94,30TH ST,WEST GRAND BLVD,6,Interstate,55,16,883.918956472085
1576405-82-7655-24.5496836-25.1925491,1576405,24.54968,25.19255,82-7655,2 - Two-Way Roadway,Trunkline,131950,15570,4750,10820,I 94,LIVERNOIS,30TH ST,6,Interstate,55,17,1399.97640419958
1576405-82-7658-34.378933-35.0488797,1576405,34.37893,35.04888,82-7658,2 - Two-Way Roadway,Trunkline,123647,8655,2720,5935,I 94,OUTER DRIVE,HARPER AVE,6,Interstate,55,18,1459.37066392624
1576405-82-7664-34.1438728-34.378933,1576405,34.14387,34.37893,82-7664,2 - Two-Way Roadway,Trunkline,112970,7908,2485,5423,I 94,CHALMERS,OUTER DRIVE,6,Interstate,55,19,511.939135920334
